"PRIMARY","COLUMN_NAME","FILE_1_DATA","FILE_2_DATA","IMAGE_NAME"
" 762577","Q95","","B","762577.jpg"
" 762609","Q43","C","*","762609.jpg"
" 762614","Q80","","C","762614.jpg"
" 762564","Q34","","D","762564.jpg"
" 617391","Q69","","B","617391.jpg"
" 615514","Q7","A","*","615514.jpg"
" 615514","Q17","B","*","615514.jpg"
" 615530","Q77","C","*","615530.jpg"
" 615673","Q58","","B","615673.jpg"
" 612152","Q66","","A","612152.jpg"
" 612170","Q23","A","*","612170.jpg"
" 612118","Q26","","C","612118.jpg"
" 612138","Q60","C","*","612138.jpg"
" 612094","Q32","C","*","612094.jpg"
" 612094","Q88","","C","612094.jpg"
" 612095","Q1","*","A","612095.jpg"
" 612117","Q71","B","*","612117.jpg"
" 611955","Q26","","B","611955.jpg"
" 612376","Q39","*","C","612376.jpg"
" 612319","Q80","*","D","612319.jpg"
" 698105","Q86","A","*","698105.jpg"
" 698156","Q5","B","*","698156.jpg"
" 698174","Q40","","B","698174.jpg"
" 698288","Q54","","D","698288.jpg"
" 699473","Q1","","C","699473.jpg"
" 631384","Q98","B","*","631384.jpg"
" 631467","Q29","A","*","631467.jpg"
" 631500","Q57","*","D","631500.jpg"
" 631513","Q92","*","D","631513.jpg"
" 616892","Q7","","C","616892.jpg"
" 616897","Q61","C","*","616897.jpg"
" 698393","Q15","*","C","698393.jpg"
" 698476","Q96","A","*","698476.jpg"
" 698595","Q21","","D","698595.jpg"
" 635166","Q83","","C","635166.jpg"
" 635089","Q3","D","*","635089.jpg"
" 634927","Q38","","B","634927.jpg"
" 634931","Q25","*","B","634931.jpg"
" 634877","Q61","*","C","634877.jpg"
" 634852","Q94","A","","634852.jpg"
" 634515","Q21","A","*","634515.jpg"
" 634465","Q47","","A","634465.jpg"
" 638389","Q41","","C","638389.jpg"
" 638451","Q10","","A","638451.jpg"
" 637986","Q34","C","*","637986.jpg"
" 638042","Q61","","A","638042.jpg"
" 638055","Q4","C","*","638055.jpg"
" 638058","Q59","D","*","638058.jpg"
" 638076","Q3","","C","638076.jpg"
" 638082","Q84","","D","638082.jpg"
" 638154","Q45","B","*","638154.jpg"
" 638164","Q80","A","*","638164.jpg"
" 638247","Q80","*","B","638247.jpg"
